"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","店铺管理","修改店铺接口","0","1","0","0","0"
"","角色管理","角色名称修改接口","0","1","0","0","0"
"","用户管理","用户信息查询接口","0","1","0","0","0"
"","个人信息","查看个人信息接口","0","0","1","0","0"
"","","","0","0","2","0","0"
"","角色管理","新增角色接口","0","2","0","0","0"
"","地址管理","新增地址接口","0","2","0","0","0"
"","店铺管理","","0","2","0","0","0"
"","用户管理","修改用户信息接口","0","1","0","0","0"
"","店铺管理","新增店铺接口","0","1","0","0","0"
"","","单票下单接口","0","0","1","0","0"
"","API设置","查询api数据接口","0","1","0","0","0"
"","个人信息","修改个人信息接口","0","0","1","0","0"
"","角色管理","","0","1","0","0","0"
"","角色管理","角色授权接口","0","1","0","0","0"
"","地址管理","","0","2","0","0","0"
"","用户管理","查看下级账号","0","0","1","0","0"
"","用户管理","新增用户信息接口","0","3","0","0","0"
"","API设置","更新api数据接口","0","0","1","0","0"
"","用户管理","启用禁用下级账号","0","1","0","0","0"
